ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_statsbomb_xg2,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure
,,,,,,,,,,,,,,3.072926,,,,,,,,,,,,,,0d0424d8-06d6-45cd-b7ed-a89fa921e74d,1574,,,"[48.0, 74.8]",3829332,49,,0.011512739,0.0098210145,0.0016917242,0.01156935,0.013380166,-0.0018108161,-0.0035025403,,,,-2.4372048,,Right Foot,,,,"[20.7, 51.6]",,Ground Pass,,35.826385,,,Phallon Tullis-Joyce,,,,,,,1,Regular Play,Alana Cook,24694.0,Right Center Back,98,OL Reign,760,['32f5b1be-b2d8-411b-8a28-7de385ecf586'],41,,,,,,,,,,,,,,,OL Reign,00:49:41.543,Pass,
,,,,,,,,,,,,,,1.473377,,,,,,,,,,,,,,ce5c79ba-abe5-45a0-a53b-cc330134c1ed,1577,,,"[20.7, 51.6]",3829332,49,,0.011975346,0.011512739,0.0004626074,0.01237613,0.01156935,0.0008067796,0.0003441722,,,,-1.1534476,,Right Foot,,,,"[25.4, 41.0]",,Ground Pass,,11.595258,,,Lauren Barnes,,,,,,,1,Regular Play,Phallon Tullis-Joyce,30955.0,Goalkeeper,98,OL Reign,760,['ee7cb819-3c25-4db8-9061-ccd72821f223'],45,,,,,,,,,,,,,,,OL Reign,00:49:45.031,Pass,
,,,,,,,,,,,,,,1.854644,,,,,,,,,,,,,,1e0d5131-31bc-4a73-a8c4-dcd5b608944a,1580,,,"[32.0, 35.8]",3829332,49,,0.011118961,0.011132738,-1.3777e-05,0.011144313,0.014146633,-0.0030023204,-0.0029885434,,,,-1.3931233,,Left Foot,,,,"[37.8, 3.5]",,Ground Pass,,32.816612,,,Jimena López Fuentes,,,,,,,1,Regular Play,Lauren Barnes,5065.0,Left Center Back,98,OL Reign,760,['d600e2ab-371f-4424-a22b-4a7366f3cc9b'],50,,,,,,,,,,,,,,,OL Reign,00:49:50.201,Pass,
,,,,,,,,,,,,,,0.023493,,,,,,,,,,,,,,9a07c2ee-9d27-4af3-8d32-748d81c20809,1583,,,"[35.3, 0.9]",3829332,49,,0.012133748,0.0123500405,-0.0002162922,0.010192502,0.010083891,0.0001086108,0.000324903,,,,0.47249693,,Left Foot,,,,"[39.8, 3.2]",,Low Pass,,5.0537114,,Incomplete,,,,,,,,1,Regular Play,Jimena López Fuentes,86279.0,Left Back,98,OL Reign,760,['7458d130-9825-4bc5-92de-7fbd03534c63'],53,,,,,,,,,,,,,,,OL Reign,00:49:53.135,Pass,
,,,,,,,,,,,,,,1.111657,,,,,,,,,,,,,,b74a130f-16f5-44b1-8157-f73a8c390608,1585,,,"[24.9, 9.2]",3829332,49,,0.015191459,0.019549651,-0.004358192,0.006964788,0.0088447835,-0.0018799957,0.0024781963,,,,2.768605,,Left Foot,,,,"[15.7, 12.8]",,Ground Pass,,9.8792715,,,Lauren Barnes,,,,,Recovery,,1,Regular Play,Jimena López Fuentes,86279.0,Left Back,98,OL Reign,760,['63b278d7-401d-4baf-aa48-7a462176bc22'],57,,,,,,,,,,,,,,,OL Reign,00:49:57.408,Pass,
,,,,,,,,,,,,,,2.694552,,,,,,,,,,,,,,003b27eb-a89b-41b6-94cc-e0aec5fb424d,1589,,,"[10.8, 13.0]",3829332,49,,0.008011759,0.014791543,-0.0067797834,0.009832794,0.0066375216,0.0031952723,0.009975055,,,,0.12680598,,Left Foot,,,,"[61.0, 19.4]",,High Pass,,50.606323,,Incomplete,,,,,,,,1,Regular Play,Lauren Barnes,5065.0,Left Center Back,98,OL Reign,760,"['4b0e1076-68c4-40a1-8d9f-f0afc879f968', 'c7419194-478a-4201-8d9b-72090ab3eae9']",58,,,,,,,,,,,,,,,OL Reign,00:49:58.599,Pass,True
,,,,,,,,,,,,,,1.293095,,,,,,,,,,,,,,c7419194-478a-4201-8d9b-72090ab3eae9,1590,,,"[59.1, 60.7]",3829332,50,,0.009591099,0.0066375216,0.0029535773,0.011247647,0.014791543,-0.0035438957,-0.006497473,,,,-0.13432144,,Head,,,,"[81.3, 57.7]",,High Pass,,22.401785,,,Marisa Viggiano,,,,,Recovery,,1,Regular Play,Kathleen Naughton,4958.0,Right Center Back,98,OL Reign,760,"['003b27eb-a89b-41b6-94cc-e0aec5fb424d', '9472727c-8f0b-4be5-933f-2b7afc0c3583']",1,,,,,,,,,,,,,,,Houston Dash,00:50:01.294,Pass,
,,,,,,,,,,,,,,1.609401,,,,,,,,,,,,,,ee2912f6-ecfa-4f19-bbe2-ccb2acb4e745,1592,,,"[82.2, 57.3]",3829332,50,,0.012644728,0.009591099,0.0030536288,0.011608495,0.011247647,0.0003608484,-0.0026927805,,,,-0.17759617,,Head,,,,"[93.9, 55.2]",,High Pass,,11.886968,,Incomplete,Nichelle Patrice Prince,,,,,,,1,Regular Play,Marisa Viggiano,30524.0,Left Center Midfield,98,OL Reign,760,"['8f576b95-44e9-4060-bb8d-817bef4daa2d', 'e8003a25-a8ac-4c74-b04a-adbfc7ba76eb']",2,,,,,,,,,,,,,,,Houston Dash,00:50:02.606,Pass,
,,,,,,,,,,,,,,3.795854,,,,,,,,,,,,,,e8003a25-a8ac-4c74-b04a-adbfc7ba76eb,1594,,,"[26.2, 24.9]",3829332,50,,0.008999524,0.011247647,-0.0022481233,0.023066597,0.009591099,0.013475498,0.015723621,,,,0.6296983,,Left Foot,,,,"[78.9, 63.3]",,High Pass,,65.206215,,,Jessica Fishlock,,,,,Recovery,,1,Regular Play,Lauren Barnes,5065.0,Left Center Back,98,OL Reign,760,"['c9d3b90f-3230-4975-928a-0867e016b63c', 'ee2912f6-ecfa-4f19-bbe2-ccb2acb4e745']",4,,,,,,,,,,,,,,,OL Reign,00:50:04.215,Pass,
,,,,,,,,,,,,,,1.805215,,,,,,,,,,,,,,584f1a06-17fc-433d-9e92-43b2238caddb,1597,,,"[78.7, 61.7]",3829332,50,,0.009513351,0.009005067,0.0005082842,0.03612494,0.024389757,0.011735184,0.0112269,,,,-0.9903237,,Left Foot,,,,"[88.8, 46.3]",,High Pass,,18.416569,,,Jordyn Pamela Huitema,,,,,,,1,Regular Play,Jessica Fishlock,5016.0,Right Wing,98,OL Reign,760,['802422a1-d231-4a21-83ea-292b9b44f473'],9,,,,,,,,,,,,,,,OL Reign,00:50:09.583,Pass,
